Verdolaga cruda limpia,1,2,taza,192,192,31,2.5,0.2,6.6,1.5,126.7,40.3,23,3.8,948.5,ND,ND,,,,,,,,,,
"Verdura (mexcla) congelada, cocida sin sal",1,1/2,taza,46,46,30,1.3,0.1,4.6,2,97.4,1.5,8.6,0.4,76.9,ND,ND,,,,,,,,,,
Xoconostle,1,3,pieza,102,71,18,0.1,0.3,3.7,1.6,1.4,15.7,ND,0.2,ND,ND,ND,,,,,,,,,,
Yemitas (hongos) crudas,1,2,taza,160,160,27,4.8,1.7,6.4,3.6,0,6.1,ND,6,ND,ND,ND,,,,,,,,,,
Yerbamora cruda,1,50,g,50,41,21,2,0.3,3.6,0.6,13.9,49.2,ND,3.7,ND,ND,ND,,,,,,,,,,
Zanahoria miniatura cruda,1,4,pieza,60,60,21,0.4,0.1,4.9,1.7,414,1.6,16.2,0.5,142.2,47,2.3,,,,,,,,,,
Zanahoria picada cruda,1,1/2,taza,64,64,26,0.6,0.2,4.3,1.8,534.4,3.8,12.2,0.2,204.8,47,2,,,,,,,,,,
Zanahoria rallada cruda,1,1/2,taza,55,55,23,0.5,0.1,4.1,1.5,459.3,3.2,10.5,0.2,176,47,1.9,,,,,,,,,,
Agua de coco,2,1 1/2,taza,360,360,65,1.1,0.7,16.9,0,0,7.2,0,4.3,529.2,0,ND,ND,,,,,,,,,
Albaricoque en almibar,2,1/4,taza,65,65,54,0.4,0.1,13.8,1.8,94.3,2,1.3,0.2,92.3,12,ND,ND,,,,,,,,,
Albaricoque en mitades enlatados en jugo,2,1/2,taza,122,122,59,0.8,0.1,15.1,2,103.5,6,2.5,0.4,201.5,13.1,ND,ND,,,,,,,,,
Albaricoque en mitades enlatados en agua,2,1,taza,227,227,61,1.6,0.4,14.5,3.6,167,7,5.1,0.7,349,10.9,ND,ND,,,,,,,,,
Anona,2,130,g,130,59,59,1,0.4,14.7,2,0,5.3,0,0.4,223.5,0,ND,ND,,,,,,,,,
Arándano fresco,2,1 1/2,taza,150,147,68,0.6,0.2,17.9,6.8,7.4,25,8,0.7,129.4,5.9,ND,ND,,,,,,,,,
Arándano seco con azucar,2,1/2,taza,5,5,51,0,0.3,13.6,1,0,0,0,0.1,6.5,10.7,ND,ND,,,,,,,,,
Blueberries,2,3/4,taza,109,107,61,0.7,0.4,15.4,2.6,0,13.9,6.4,0.2,94.9,10.6,,ND,,,,,,,,,
Blueberries congeladas,2,3/4,taza,116,116,59,0.5,0.8,14.2,3.2,1.5,9,8.1,0.2,63,9.8,ND,ND,,,,,,,,,
Blueberries congeladas con azucar,2,1/4,taza,58,58,47,0.2,0.1,12.6,1.3,0.5,3.5,4,0.2,34.5,11.4,ND,ND,,,,,,,,,
Blueberries en almibar,2,1/4,taza,64,64,56,0.4,0.2,14.1,1,1.3,0.8,1.3,0.2,25.5,13.1,ND,ND,,,,,,,,,
Breba,2,5,pieza,200,192,63,1,0.2,16.1,3.3,71,1.9,0,4.4,372.5,0,ND,ND,,,,,,,,,
Caimito blanco o morado,2,1,pieza,200,130,68,1.7,2.2,12.2,3.8,0,15.6,0,5.7,0,0,ND,ND,,,,,,,,,
Calabaza melón,2,130,g,130,98,58,2.8,0.9,11.2,1.3,36.1,23.4,0,2.6,0,0,ND,ND,,,,,,,,,
Cana de azúcar,2,250,g,250,100,64,0.5,0.5,17.2,1.9,0,8,0,0.7,0,0,ND,ND,,,,,,,,,
Capulín,2,3,taza,480,96,63,1.4,0,16.1,0.6,25,12.5,0,1.3,0,0,ND,ND,,,,,,,,,
Carambolo o Carambola,2,1 1/2,pieza,191,171,53,1.8,0.6,11.5,4.8,83.7,36.5,24.3,0.4,279.5,6.8,ND,ND,,,,,,,,,
Cereza,2,20,pieza,136,88,56,0.9,0.2,14.7,2.1,18.2,6.5,3.9,0.4,197.6,11.3,22,3.2,,,,,,,,,
Cereza congeladas,2,1,taza,155,155,71,1.4,0.7,17.1,2.5,68,3,7.8,0.8,192,14,ND,ND,,,,,,,,,
Cerezas en almibar,2,1/4,taza,64,64,58,0.5,0.1,14.9,0.7,22.8,1.3,5.1,0.8,59.8,14.5,ND,ND,,,,,,,,,
Cerezas maschino enlatadas,2,4,pieza,20,20,64,0,0,16.8,1.2,0,0,0,0.2,8,15.6,ND,ND,,,,,,,,,
Chabacano,2,4,pieza,140,126,61,1.8,0.5,14,2.5,329.3,13.1,10.7,0.7,373.2,11.6,57,8,,,,,,,,,
Chagua,2,150,g,150,150,114,15.8,1.3,14,4.7,0.2,6.8,0,4.6,0,0,ND,ND,,,,,,,,,
Cherimoya picada,2,1/2,taza,78,78,58,1.3,0.5,13.8,1.8,3,6,14.1,0.2,210,0,ND,ND,,,,,,,,,
Chicozapote,2,1/2,pieza,85,75,62,0.3,0.8,14.9,4,4.4,11,10.6,0.6,144.3,0,40,6,,,,,,,,,
Chirimoya,2,1/3,pieza,112,56,53,0.7,0.2,13.4,1.2,0.6,5,0,0.3,0,0,ND,ND,,,,,,,,,
Ciricote,2,300,g,30,90,59,1.1,0.1,15,1.4,25.2,9.9,0,1.7,0,0,ND,ND,,,,,,,,,
Ciruela criolla roja o amarilla,2,3,pieza,198,158,73,1.1,0.4,18.1,2.2,50.4,14.4,2.4,0.2,273.6,0,39,7.1,,,,,,,,,
Ciruela negra,2,1/2,pieza,83,66,50,0.7,0,12.5,1.3,ND,4.1,ND,0,68.4,10.6,ND,ND,,,,,,,,,
Ciruela pasa deshuesada,2,7,pieza,56,56,60,0.5,0.1,15.7,1.7,140,0,0,0.4,0,14,29,4.6,,,,,,,,,
Cocktail de frutas en almibar,2,1/4,taza,62,62,44,0.3,0.1,11.7,1.1,8.8,1.3,1.9,0.2,55.8,10.6,ND,ND,,,,,,,,,
Cocktail de frutas enlatado en agua,2,1/2,taza,119,119,38,0.5,0.1,10.1,1.2,15.5,2.5,3.6,0.3,111.5,8.9,ND,ND,,,,,,,,,
Cocktail de frutas enlatado en jugo de frutas,2,1/2,taza,119,119,55,0.6,0,14.1,1.2,18,3,3.6,0.3,112.5,12.9,ND,ND,,,,,,,,,
Cocoyol,2,170,g,170,43,74,2.5,3.8,9.5,2.1,9.8,49.3,0,1.9,0,0,ND,ND,,,,,,,,,
Coloc,2,60,g,60,60,61,1.1,0.3,15.4,0.4,0.4,14.8,0,3.2,0,0,ND,ND,,,,,,,,,
Cundeamor,2,450,g,450,450,32,3.9,0.7,15.9,5.6,0.3,230,0,7.7,0,0,ND,ND,,,,,,,,,
Dátil seco,2,2,pieza,17,17,46,0.3,0,12.4,1.1,0.8,0,2,0.2,108.2,11,103,12.8,,,,,,,,,
Durazno amarillo,2,2,pieza,174,153,60,1.4,0.2,14.6,2.3,82.7,10.6,5.3,0.2,301,12.8,42,6.1,,,,,,,,,
Durazno con azúcar congelado,2,1/4,taza,63,63,59,0.4,0.1,15,1.1,8.8,59,1.9,0.2,81.3,13.9,ND,ND,,,,,,,,,
Durazno en almibar,2,1/2,taza,126,126,68,0.6,0.1,18.3,1.7,22.5,3,3.8,0.5,121.5,16.7,ND,ND,,,,,,,,,
